event_id,flight_id,event_type,severity,event_time
E0000056,F000755,HARD_LANDING,LOW,2025-10-26 11:24:36.431880
E0000057,F000629,COMMS_LOSS,LOW,2025-11-04 14:33:20.328403
E0000058,F001969,MOTOR_TEMP_HIGH,LOW,2025-11-21 22:23:35.536062
E0000059,F001041,COMMS_LOSS,LOW,2025-09-28 16:44:11.727475
E0000060,F000341,COMMS_LOSS,MEDIUM,2025-09-21 22:46:01.784132
E0000061,F000961,GPS_GLITCH,LOW,2025-09-17 06:49:35.534321
E0000062,F000510,WIND_ALERT,LOW,2025-10-20 18:55:33.025560
E0000063,F001434,WIND_ALERT,HIGH,2025-09-11 04:06:39.926447
E0000064,F001148,HARD_LANDING,LOW,2025-10-10 22:30:05.646662
E0000065,F001461,MOTOR_TEMP_HIGH,HIGH,2025-11-20 02:28:52.005123
E0000066,F001881,MOTOR_TEMP_HIGH,MEDIUM,2025-10-13 13:21:24.240491
E0000067,F001459,MOTOR_TEMP_HIGH,LOW,2025-09-29 13:06:23.304782
E0000068,F000682,GPS_GLITCH,HIGH,2025-11-01 06:24:13.282260
E0000069,F000404,MOTOR_TEMP_HIGH,HIGH,2025-10-17 10:47:46.857247
E0000070,F001059,MOTOR_TEMP_HIGH,MEDIUM,2025-11-08 12:45:28.197361
E0000071,F000899,COMMS_LOSS,LOW,2025-10-04 12:08:16.001615
E0000072,F000627,BATTERY_DROP,LOW,2025-11-28 19:09:04.200203
E0000073,F001623,MOTOR_TEMP_HIGH,LOW,2025-10-13 02:28:14.931233
E0000074,F001819,MOTOR_TEMP_HIGH,MEDIUM,2025-11-13 15:43:13.130293
E0000075,F000764,BATTERY_DROP,LOW,2025-10-04 09:49:22.212989
E0000076,F001362,WIND_ALERT,LOW,2025-11-22 06:38:55.991830
E0000077,F001969,COMMS_LOSS,LOW,2025-11-21 22:33:34.532737
E0000078,F000024,GPS_GLITCH,LOW,2025-10-01 02:30:18.270376
E0000079,F000730,GPS_GLITCH,LOW,2025-11-02 18:23:47.056170
E0000080,F001476,COMMS_LOSS,LOW,2025-09-24 20:27:45.145495
E0000081,F000996,BATTERY_DROP,HIGH,2025-11-19 07:29:01.047706
E0000082,F001584,HARD_LANDING,LOW,2025-10-10 23:57:40.047573
E0000083,F000950,GPS_GLITCH,LOW,2025-09-30 13:50:56.107735
E0000084,F000129,GPS_GLITCH,LOW,2025-11-26 06:48:04.733910
E0000085,F000868,BATTERY_DROP,LOW,2025-09-23 03:15:20.873138
E0000086,F000810,COMMS_LOSS,MEDIUM,2025-11-10 17:00:07.268720
E0000087,F001692,WIND_ALERT,LOW,2025-11-24 17:10:34.463388
E0000088,F000295,HARD_LANDING,CRITICAL,2025-10-06 18:51:29.418947
E0000089,F000311,MOTOR_TEMP_HIGH,CRITICAL,2025-10-20 23:24:06.387231
E0000090,F000283,HARD_LANDING,HIGH,2025-11-12 09:10:46.483673
E0000091,F001136,GPS_GLITCH,HIGH,2025-11-06 14:10:07.390080
E0000092,F001992,MOTOR_TEMP_HIGH,LOW,2025-10-20 00:29:35.406684
E0000093,F001238,WIND_ALERT,MEDIUM,2025-10-02 05:03:02.278337
E0000094,F001633,BATTERY_DROP,LOW,2025-09-15 16:05:22.092641
E0000095,F001703,WIND_ALERT,MEDIUM,2025-10-19 19:45:45.509805
E0000096,F001202,GPS_GLITCH,LOW,2025-11-17 00:30:00.102687
E0000097,F001219,GPS_GLITCH,LOW,2025-09-19 04:37:20.085630
E0000098,F000487,MOTOR_TEMP_HIGH,LOW,2025-09-30 11:45:46.535859
E0000099,F001921,WIND_ALERT,MEDIUM,2025-10-16 19:32:43.932850
E0000100,F001576,BATTERY_DROP,MEDIUM,2025-09-08 23:49:12.412312
E0000101,F001745,HARD_LANDING,LOW,2025-10-11 11:46:52.508456
E0000102,F001968,GPS_GLITCH,LOW,2025-11-22 07:10:36.342811
E0000103,F000698,COMMS_LOSS,LOW,2025-11-21 20:49:52.467512
E0000104,F000288,MOTOR_TEMP_HIGH,MEDIUM,2025-11-14 08:08:52.909672
E0000105,F001720,GPS_GLITCH,LOW,2025-11-15 04:10:16.357444
E0000106,F000946,COMMS_LOSS,LOW,2025-10-16 06:25:08.006500
E0000107,F001917,COMMS_LOSS,MEDIUM,2025-10-21 13:31:30.909971
E0000108,F001389,MOTOR_TEMP_HIGH,MEDIUM,2025-09-17 22:52:01.501811
E0000109,F000515,GPS_GLITCH,HIGH,2025-09-26 22:25:47.222700
E0000110,F000710,GPS_GLITCH,MEDIUM,2025-09-26 21:38:45.223183
E0000111,F001221,WIND_ALERT,HIGH,2025-09-02 14:29:13.316669
E0000112,F000789,COMMS_LOSS,LOW,2025-10-29 10:26:11.040982
E0000113,F000564,HARD_LANDING,LOW,2025-10-13 20:04:33.028824
E0000114,F000420,COMMS_LOSS,CRITICAL,2025-11-20 00:38:43.957898
E0000115,F001300,HARD_LANDING,LOW,2025-09-13 13:51:21.013259
E0000116,F000071,GPS_GLITCH,MEDIUM,2025-09-25 12:09:04.459192
E0000117,F000188,MOTOR_TEMP_HIGH,LOW,2025-09-28 21:34:43.978635
E0000118,F000086,COMMS_LOSS,LOW,2025-10-12 16:31:05.975271
E0000119,F001469,GPS_GLITCH,LOW,2025-11-02 09:11:11.697586
E0000120,F000059,GPS_GLITCH,MEDIUM,2025-11-02 23:23:52.904288
E0000121,F000840,MOTOR_TEMP_HIGH,MEDIUM,2025-10-23 20:19:55.010683
E0000122,F000243,HARD_LANDING,LOW,2025-11-14 19:18:28.246768
E0000123,F001175,COMMS_LOSS,LOW,2025-10-06 17:25:39.056301
E0000124,F000069,GPS_GLITCH,LOW,2025-10-11 10:38:45.730468
E0000125,F000052,WIND_ALERT,LOW,2025-10-01 20:04:12.256911
E0000126,F000823,GPS_GLITCH,LOW,2025-09-29 12:51:24.342050
E0000127,F001391,GPS_GLITCH,CRITICAL,2025-09-03 19:34:33.056161
E0000128,F000220,WIND_ALERT,LOW,2025-09-11 10:55:22.545801
E0000129,F000992,COMMS_LOSS,LOW,2025-11-05 06:00:01.701927
E0000130,F001621,WIND_ALERT,LOW,2025-11-24 04:26:48.621646
E0000131,F001251,HARD_LANDING,LOW,2025-10-24 04:15:07.455899
E0000132,F001501,COMMS_LOSS,LOW,2025-09-27 12:42:42.723684
E0000133,F000632,BATTERY_DROP,MEDIUM,2025-10-09 03:41:00.483025
E0000134,F001885,BATTERY_DROP,MEDIUM,2025-10-01 20:16:10.198855
E0000135,F000292,WIND_ALERT,HIGH,2025-10-22 01:30:36.953924
E0000136,F001211,HARD_LANDING,LOW,2025-10-15 17:37:55.962016
E0000137,F000871,BATTERY_DROP,MEDIUM,2025-11-15 08:47:10.762864
E0000138,F000064,BATTERY_DROP,HIGH,2025-09-24 17:14:49.149688
E0000139,F001888,BATTERY_DROP,HIGH,2025-09-09 04:03:00.418420
E0000140,F001405,BATTERY_DROP,HIGH,2025-09-01 10:38:29.781107
E0000141,F000456,HARD_LANDING,LOW,2025-10-26 11:21:57.654491
E0000142,F000105,GPS_GLITCH,CRITICAL,2025-09-04 18:05:19.455405
E0000143,F001352,BATTERY_DROP,HIGH,2025-10-20 14:31:31.390237
E0000144,F001091,WIND_ALERT,MEDIUM,2025-10-02 04:39:45.128043
E0000145,F000100,MOTOR_TEMP_HIGH,MEDIUM,2025-10-27 14:11:49.312545
E0000146,F001973,MOTOR_TEMP_HIGH,CRITICAL,2025-10-19 18:59:44.769820
E0000147,F001437,BATTERY_DROP,LOW,2025-09-20 11:21:28.950829
E0000148,F000926,GPS_GLITCH,MEDIUM,2025-10-31 18:03:58.464684
E0000149,F000477,GPS_GLITCH,MEDIUM,2025-10-14 00:16:16.397394
E0000150,F000543,GPS_GLITCH,MEDIUM,2025-10-24 10:36:40.758010
E0000151,F000904,GPS_GLITCH,MEDIUM,2025-10-31 03:59:58.322246
E0000152,F000115,GPS_GLITCH,LOW,2025-10-23 21:46:50.210762
E0000153,F000736,BATTERY_DROP,LOW,2025-09-08 17:56:55.893499
E0000154,F000435,GPS_GLITCH,LOW,2025-09-10 03:46:33.909595
E0000155,F000226,WIND_ALERT,MEDIUM,2025-10-01 04:57:02.120985
E0000156,F000252,GPS_GLITCH,MEDIUM,2025-09-05 00:44:36.478958
E0000157,F000692,BATTERY_DROP,HIGH,2025-11-12 18:32:46.377547
E0000158,F000766,HARD_LANDING,MEDIUM,2025-11-09 07:50:46.390476
E0000159,F000701,GPS_GLITCH,MEDIUM,2025-09-01 11:51:25.613975
E0000160,F001380,MOTOR_TEMP_HIGH,LOW,2025-10-25 07:51:30.881468
E0000161,F001045,HARD_LANDING,MEDIUM,2025-09-01 16:09:44.392163
E0000162,F000386,MOTOR_TEMP_HIGH,HIGH,2025-10-24 21:19:40.262406
E0000163,F001945,GPS_GLITCH,MEDIUM,2025-09-02 19:08:28.123499
E0000164,F001461,COMMS_LOSS,HIGH,2025-11-20 02:31:36.985871
E0000165,F000941,COMMS_LOSS,CRITICAL,2025-11-15 12:29:18.569570
E0000166,F000099,BATTERY_DROP,LOW,2025-10-29 11:50:24.055978
E0000167,F001829,GPS_GLITCH,MEDIUM,2025-10-01 17:31:52.727600
E0000168,F001490,GPS_GLITCH,LOW,2025-10-08 08:47:56.433749
E0000169,F000924,HARD_LANDING,LOW,2025-10-01 00:45:10.789631
E0000170,F000324,BATTERY_DROP,LOW,2025-09-17 08:03:02.335923
E0000171,F000216,GPS_GLITCH,LOW,2025-11-16 02:52:49.609326
E0000172,F000580,MOTOR_TEMP_HIGH,LOW,2025-11-10 17:55:02.541369
E0000173,F000461,WIND_ALERT,MEDIUM,2025-10-19 06:18:30.596995
E0000174,F000419,GPS_GLITCH,LOW,2025-09-17 08:18:20.074204
E0000175,F000816,GPS_GLITCH,LOW,2025-09-14 19:40:09.134869
E0000176,F000094,BATTERY_DROP,LOW,2025-09-28 18:46:22.243334
E0000177,F000651,COMMS_LOSS,LOW,2025-09-27 14:16:27.178970
E0000178,F001743,MOTOR_TEMP_HIGH,HIGH,2025-10-08 05:25:26.932455
E0000179,F001732,HARD_LANDING,LOW,2025-09-21 23:18:36.472135
E0000180,F000017,GPS_GLITCH,LOW,2025-10-30 19:07:28.085363
E0000181,F001358,BATTERY_DROP,CRITICAL,2025-09-21 14:41:29.299446
E0000182,F001983,BATTERY_DROP,HIGH,2025-10-27 07:03:52.451102
E0000183,F001157,BATTERY_DROP,MEDIUM,2025-10-07 03:07:59.210861
E0000184,F000781,MOTOR_TEMP_HIGH,MEDIUM,2025-11-25 03:35:16.377585
E0000185,F000983,COMMS_LOSS,LOW,2025-10-28 09:24:37.776143
E0000186,F000427,BATTERY_DROP,MEDIUM,2025-10-08 11:13:21.435084
E0000187,F000795,COMMS_LOSS,LOW,2025-10-16 18:07:02.637237
E0000188,F001874,GPS_GLITCH,LOW,2025-11-04 18:20:55.809827
E0000189,F001225,MOTOR_TEMP_HIGH,LOW,2025-10-28 02:41:42.915789
E0000190,F000862,BATTERY_DROP,MEDIUM,2025-11-16 12:35:35.068435
E0000191,F000250,MOTOR_TEMP_HIGH,LOW,2025-11-04 19:08:15.152888
E0000192,F001813,GPS_GLITCH,LOW,2025-10-18 21:09:42.051962
E0000193,F000326,WIND_ALERT,LOW,2025-11-06 11:05:53.844769
E0000194,F001444,WIND_ALERT,MEDIUM,2025-11-17 13:55:33.153772
E0000195,F000607,HARD_LANDING,LOW,2025-09-14 07:15:46.370989
E0000196,F000558,HARD_LANDING,LOW,2025-09-16 02:20:22.436334
E0000197,F000343,GPS_GLITCH,LOW,2025-10-18 18:30:09.830883
E0000198,F000751,MOTOR_TEMP_HIGH,MEDIUM,2025-10-26 01:16:55.552960
E0000199,F001355,BATTERY_DROP,LOW,2025-11-15 17:07:54.294123
E0000200,F000834,HARD_LANDING,HIGH,2025-10-02 14:01:05.519156
E0000201,F000050,GPS_GLITCH,LOW,2025-11-26 09:09:04.264780
E0000202,F000529,GPS_GLITCH,LOW,2025-09-09 13:35:23.453016
E0000203,F000321,COMMS_LOSS,LOW,2025-11-26 23:07:47.911104
E0000204,F000804,GPS_GLITCH,LOW,2025-11-25 07:30:33.070666
E0000205,F001806,COMMS_LOSS,LOW,2025-11-22 09:34:10.217831
E0000206,F001926,BATTERY_DROP,LOW,2025-09-18 01:19:36.574568
E0000207,F001996,COMMS_LOSS,HIGH,2025-11-03 01:59:02.757167
E0000208,F000226,HARD_LANDING,LOW,2025-10-01 04:54:35.950432
E0000209,F000976,MOTOR_TEMP_HIGH,LOW,2025-09-02 06:25:39.539844
E0000210,F000092,GPS_GLITCH,LOW,2025-10-30 16:53:05.962658
E0000211,F000991,GPS_GLITCH,LOW,2025-09-06 05:30:05.067006
E0000212,F001154,GPS_GLITCH,LOW,2025-10-18 18:25:28.105548
E0000213,F001547,GPS_GLITCH,LOW,2025-11-20 01:55:52.578704
E0000214,F000673,MOTOR_TEMP_HIGH,LOW,2025-09-10 14:08:23.387302
E0000215,F000073,BATTERY_DROP,LOW,2025-09-09 16:20:01.702090
E0000216,F000909,GPS_GLITCH,HIGH,2025-11-26 06:14:32.302983
E0000217,F000855,GPS_GLITCH,MEDIUM,2025-10-17 03:46:42.599344
E0000218,F001249,WIND_ALERT,HIGH,2025-11-06 19:29:43.153412
E0000219,F000200,GPS_GLITCH,LOW,2025-11-21 12:15:49.036030
E0000220,F001227,BATTERY_DROP,HIGH,2025-10-01 21:33:40.393799
E0000221,F000802,MOTOR_TEMP_HIGH,LOW,2025-11-27 14:47:39.777573
E0000222,F001479,GPS_GLITCH,LOW,2025-09-02 11:52:43.681061
E0000223,F001968,WIND_ALERT,HIGH,2025-11-22 07:11:38.148296
E0000224,F000456,GPS_GLITCH,LOW,2025-10-26 11:11:29.921034
E0000225,F001508,COMMS_LOSS,LOW,2025-09-05 16:14:26.546466
E0000226,F000256,MOTOR_TEMP_HIGH,HIGH,2025-11-29 19:45:22.889095
E0000227,F001971,HARD_LANDING,MEDIUM,2025-09-19 05:38:07.120795
E0000228,F000962,COMMS_LOSS,LOW,2025-09-22 23:22:49.114178
E0000229,F001493,COMMS_LOSS,LOW,2025-10-26 23:20:12.131098
E0000230,F001556,BATTERY_DROP,LOW,2025-09-24 21:14:22.507939
E0000231,F001217,MOTOR_TEMP_HIGH,CRITICAL,2025-09-07 01:19:34.437952
E0000232,F000769,COMMS_LOSS,LOW,2025-11-28 04:59:18.689404
E0000233,F001509,MOTOR_TEMP_HIGH,LOW,2025-10-24 14:44:27.851165
E0000234,F000953,MOTOR_TEMP_HIGH,LOW,2025-11-07 23:30:34.546282
E0000235,F001319,GPS_GLITCH,HIGH,2025-09-05 14:06:46.449693
E0000236,F001227,BATTERY_DROP,MEDIUM,2025-10-01 21:38:31.623369
E0000237,F000929,BATTERY_DROP,LOW,2025-10-18 06:38:54.976191
E0000238,F000235,GPS_GLITCH,CRITICAL,2025-09-24 14:56:16.175264
E0000239,F000586,BATTERY_DROP,LOW,2025-11-05 14:36:12.262290
E0000240,F001876,GPS_GLITCH,HIGH,2025-09-28 06:22:37.192640
E0000241,F001041,MOTOR_TEMP_HIGH,LOW,2025-09-28 16:38:05.559002
E0000242,F001273,COMMS_LOSS,LOW,2025-10-10 11:10:00.034055
E0000243,F000517,MOTOR_TEMP_HIGH,LOW,2025-11-06 03:49:04.267597
E0000244,F001412,COMMS_LOSS,CRITICAL,2025-11-20 17:05:32.875724
E0000245,F000974,GPS_GLITCH,HIGH,2025-11-05 02:18:42.382598
E0000246,F000438,GPS_GLITCH,MEDIUM,2025-09-10 14:36:56.268542
E0000247,F000293,COMMS_LOSS,LOW,2025-11-23 11:52:57.841258
E0000248,F000791,HARD_LANDING,LOW,2025-11-24 15:54:57.098416
E0000249,F001131,COMMS_LOSS,LOW,2025-11-04 05:07:07.365096
E0000250,F000561,COMMS_LOSS,LOW,2025-10-21 20:21:33.664546
E0000251,F000491,COMMS_LOSS,LOW,2025-11-01 17:18:46.155588
E0000252,F000540,COMMS_LOSS,MEDIUM,2025-09-16 05:55:00.023975
E0000253,F000588,COMMS_LOSS,MEDIUM,2025-11-22 23:04:21.860968
E0000254,F001479,COMMS_LOSS,HIGH,2025-09-02 11:54:30.046705
E0000255,F000999,GPS_GLITCH,LOW,2025-11-16 00:19:08.964723
E0000256,F000939,GPS_GLITCH,LOW,2025-10-21 00:58:46.289166
E0000257,F000326,BATTERY_DROP,LOW,2025-11-06 10:46:17.343647
E0000258,F001090,MOTOR_TEMP_HIGH,LOW,2025-10-28 08:01:19.161644
E0000259,F001925,COMMS_LOSS,MEDIUM,2025-10-08 17:41:25.431739
E0000260,F001492,BATTERY_DROP,MEDIUM,2025-09-15 21:25:23.996298
E0000261,F000894,BATTERY_DROP,LOW,2025-10-10 07:24:36.064158
E0000262,F000614,COMMS_LOSS,LOW,2025-09-12 12:30:32.756694
E0000263,F000705,GPS_GLITCH,HIGH,2025-10-25 13:00:24.690429
E0000264,F000054,HARD_LANDING,LOW,2025-10-01 12:25:33.935515
E0000265,F000059,GPS_GLITCH,LOW,2025-11-02 23:28:19.378583
E0000266,F001553,BATTERY_DROP,MEDIUM,2025-09-14 10:47:36.869331
E0000267,F001687,BATTERY_DROP,MEDIUM,2025-11-25 18:34:36.591912
E0000268,F001938,BATTERY_DROP,LOW,2025-09-30 05:47:10.190308
E0000269,F001252,GPS_GLITCH,HIGH,2025-10-26 19:08:57.770546
E0000270,F001859,GPS_GLITCH,HIGH,2025-10-12 06:04:24.215734
E0000271,F000833,BATTERY_DROP,LOW,2025-10-22 12:49:33.058212
E0000272,F000509,BATTERY_DROP,LOW,2025-11-12 09:42:25.643209
E0000273,F000492,COMMS_LOSS,MEDIUM,2025-09-22 04:35:01.269093
E0000274,F000474,GPS_GLITCH,MEDIUM,2025-09-06 12:21:02.113419
E0000275,F001491,BATTERY_DROP,LOW,2025-10-19 06:15:09.768124
E0000276,F000020,GPS_GLITCH,LOW,2025-10-08 15:15:56.117109
E0000277,F001891,WIND_ALERT,MEDIUM,2025-11-16 03:23:57.567029
E0000278,F001550,COMMS_LOSS,LOW,2025-09-15 09:45:51.351774
E0000279,F000762,WIND_ALERT,LOW,2025-10-08 01:09:41.663467
E0000280,F001404,WIND_ALERT,LOW,2025-10-15 11:04:18.096307
E0000281,F000270,BATTERY_DROP,LOW,2025-09-02 14:53:30.646351
E0000282,F000863,COMMS_LOSS,HIGH,2025-10-16 07:53:31.580293
E0000283,F000219,BATTERY_DROP,MEDIUM,2025-11-20 09:56:16.266460
E0000284,F000225,HARD_LANDING,LOW,2025-11-09 11:42:57.380178
E0000285,F000013,BATTERY_DROP,HIGH,2025-10-21 03:18:54.911358
E0000286,F001592,BATTERY_DROP,LOW,2025-10-16 06:22:08.707618
E0000287,F001488,WIND_ALERT,LOW,2025-09-09 04:53:45.415530
E0000288,F001786,HARD_LANDING,LOW,2025-09-09 01:20:13.048456
E0000289,F001963,WIND_ALERT,MEDIUM,2025-09-13 11:53:56.268591
E0000290,F001930,GPS_GLITCH,MEDIUM,2025-11-02 16:36:08.535038
E0000291,F001986,GPS_GLITCH,MEDIUM,2025-11-04 14:55:31.316384
E0000292,F000032,BATTERY_DROP,LOW,2025-11-04 12:51:34.343977
E0000293,F001569,BATTERY_DROP,LOW,2025-11-06 00:21:44.982212
E0000294,F001447,MOTOR_TEMP_HIGH,LOW,2025-10-02 04:32:10.347069
E0000295,F000325,BATTERY_DROP,CRITICAL,2025-11-23 23:29:45.320149
E0000296,F000274,COMMS_LOSS,LOW,2025-09-27 16:32:01.865838
E0000297,F001956,GPS_GLITCH,MEDIUM,2025-11-22 04:41:06.056367
E0000298,F001766,COMMS_LOSS,MEDIUM,2025-09-07 16:36:01.459033
E0000299,F000656,HARD_LANDING,LOW,2025-09-02 02:19:19.947539
E0000300,F000150,MOTOR_TEMP_HIGH,LOW,2025-10-20 01:36:09.014511
E0000301,F000668,BATTERY_DROP,LOW,2025-11-01 14:41:39.111231
E0000302,F000011,GPS_GLITCH,MEDIUM,2025-10-30 13:55:01.322184
E0000303,F001375,GPS_GLITCH,CRITICAL,2025-10-12 11:23:51.388693
E0000304,F000761,COMMS_LOSS,LOW,2025-11-03 20:46:19.807418
E0000305,F000099,MOTOR_TEMP_HIGH,CRITICAL,2025-10-29 11:42:59.242831
E0000306,F001960,GPS_GLITCH,LOW,2025-11-18 09:49:48.376438
E0000307,F001652,WIND_ALERT,LOW,2025-11-27 19:31:26.361651
E0000308,F001810,COMMS_LOSS,HIGH,2025-11-27 09:30:40.168503
E0000309,F001995,HARD_LANDING,HIGH,2025-10-07 00:11:05.953036
E0000310,F000029,BATTERY_DROP,LOW,2025-11-05 00:30:23.886102
E0000311,F001551,WIND_ALERT,MEDIUM,2025-11-01 10:30:48.159324
E0000312,F001576,GPS_GLITCH,HIGH,2025-09-08 23:56:35.418484
E0000313,F001564,GPS_GLITCH,MEDIUM,2025-09-22 22:42:58.131066
E0000314,F000531,HARD_LANDING,MEDIUM,2025-11-05 07:55:46.946349
E0000315,F000781,HARD_LANDING,LOW,2025-11-25 03:34:47.924433
E0000316,F001859,MOTOR_TEMP_HIGH,LOW,2025-10-12 06:03:55.039773
E0000317,F000132,GPS_GLITCH,MEDIUM,2025-10-13 00:58:59.919907
E0000318,F001283,BATTERY_DROP,LOW,2025-11-21 05:58:29.393114
E0000319,F001586,COMMS_LOSS,LOW,2025-11-10 02:20:05.989434
E0000320,F001597,HARD_LANDING,LOW,2025-11-06 22:24:11.235292
E0000321,F001195,BATTERY_DROP,LOW,2025-10-07 17:23:50.971367
E0000322,F001534,GPS_GLITCH,LOW,2025-11-23 04:22:45.332858
E0000323,F001819,COMMS_LOSS,LOW,2025-11-13 15:45:34.755472
E0000324,F001532,COMMS_LOSS,LOW,2025-09-14 11:38:36.285339
E0000325,F000232,BATTERY_DROP,LOW,2025-11-06 07:15:40.897018
E0000326,F000490,MOTOR_TEMP_HIGH,HIGH,2025-09-17 11:08:54.469207
E0000327,F000611,WIND_ALERT,MEDIUM,2025-10-10 10:09:19.871236
E0000328,F000687,GPS_GLITCH,LOW,2025-09-22 16:20:40.322765
E0000329,F000722,MOTOR_TEMP_HIGH,LOW,2025-11-13 18:57:02.323786
E0000330,F000440,MOTOR_TEMP_HIGH,LOW,2025-10-07 09:01:00.678271
E0000331,F001367,MOTOR_TEMP_HIGH,MEDIUM,2025-09-21 13:12:42.230407
E0000332,F000221,HARD_LANDING,MEDIUM,2025-10-17 16:44:32.383939
E0000333,F001576,MOTOR_TEMP_HIGH,MEDIUM,2025-09-09 00:07:24.814023
E0000334,F001318,MOTOR_TEMP_HIGH,MEDIUM,2025-09-05 06:49:45.755086
E0000335,F001923,GPS_GLITCH,LOW,2025-11-21 15:26:32.376641
E0000336,F000014,COMMS_LOSS,LOW,2025-10-16 11:03:13.496571
E0000337,F000591,GPS_GLITCH,LOW,2025-10-31 09:55:00.918452
E0000338,F001797,GPS_GLITCH,LOW,2025-09-23 19:02:47.604394
E0000339,F000988,MOTOR_TEMP_HIGH,LOW,2025-11-11 11:59:23.381728
E0000340,F001122,MOTOR_TEMP_HIGH,MEDIUM,2025-09-05 23:17:35.083493
E0000341,F000058,WIND_ALERT,LOW,2025-10-15 13:20:55.317073
E0000342,F001525,COMMS_LOSS,MEDIUM,2025-11-05 07:51:59.776666
